Idade;Faixa idade;Gênero;Cor/raca/etnia;Estado onde mora;Região onde Mora;Nível de Ensino;Área de Formação;Qual sua situação atual de trabalho?;Cargo Atual;Faixa salarial;Quanto tempo de experiência na área de dados você tem?;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?
37;35-39;Feminino;Branca;Rio Grande do Sul (RS);Sul;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Mais de 10 anos
33;30-34;Masculino;Branca;Paraná (PR);Sul;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empreendedor ou Empregado (CNPJ);Analista de BI/BI Analyst;de R$ 6.001/mês a R$ 8.000/mês;de 4 a 6 anos;Menos de 1 ano
25;25-29;Masculino;Branca;Piauí (PI);Nordeste;Estudante de Graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Desempregado, buscando recolocação;;;;
30;30-34;Masculino;Branca;Rio Grande do Sul (RS);Sul;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);;de R$ 12.001/mês a R$ 16.000/mês;de 7 a 10 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
43;40-44;Masculino;Parda;Paraná (PR);Sul;Pós-graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Analista de Suporte/Analista Técnico;de R$ 2.001/mês a R$ 3.000/mês;de 7 a 10 anos;Menos de 1 ano
29;25-29;Feminino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30;30-34;Feminino;Parda;São Paulo (SP);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Cientista de Dados/Data Scientist;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;de 1 a 2 anos
48;45-49;Masculino;Branca;São Paulo (SP);Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Analista de Suporte/Analista Técnico;de R$ 8.001/mês a R$ 12.000/mês;Menos de 1 ano;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29;25-29;Masculino;Branca;Distrito Federal (DF);Centro-oeste;Pós-graduação;Ciências Sociais;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27;25-29;Masculino;Branca;Espírito Santo (ES);Sudeste;Pós-graduação;Outras Engenharias;Empreendedor ou Empregado (CNPJ);;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28;25-29;Masculino;Branca;Espírito Santo (ES);Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Estagiário;Analista de Dados/Data Analyst;de R$ 1.001/mês a R$ 2.000/mês;Menos de 1 ano;Menos de 1 ano
27;25-29;Masculino;Branca;Santa Catarina (SC);Sul;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
